	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_2813	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Mollisiaceae	g__Mollisia	s__cinerea
ASV_2814	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Mycenaceae	g__Mycena	NA
ASV_2815	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Chaetosphaeriales	f__Chaetosphaeriaceae	g__Chaetosphaeria	NA
ASV_2816	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Paraphoma	s__fimeti
ASV_2817	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__alpina
ASV_2818	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Venturiales	f__Sympoventuriaceae	g__Ochroconis	NA
ASV_2819	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	NA
ASV_2820	k__Fungi	p__Ascomycota	c__Geoglossomycetes	o__Geoglossales	f__Geoglossaceae	g__Sabuloglossum	NA
ASV_2821	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Tetracladium	NA
ASV_2822	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_2823	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Myxotrichaceae	g__Oidiodendron	NA
ASV_2824	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	s__canescens
ASV_2825	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Pezizomycotina_fam_Incertae_sedis	g__Cytosporella	NA
ASV_2826	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	s__coprobium
ASV_2827	k__Fungi	p__Chytridiomycota	c__Spizellomycetes	o__Spizellomycetales	f__Powellomycetaceae	g__Powellomyces	s__hirtus
ASV_2828	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Baeomycetales	NA	NA	NA
ASV_2829	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pyronemataceae	g__Cheilymenia	NA
ASV_2830	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_2831	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Psathyrellaceae	g__Psathyrella	s__obtusata
ASV_2832	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Chaetomiaceae	g__Chaetomium	NA
ASV_2833	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Dothideomycetes_ord_Incertae_sedis	f__Dothideomycetes_fam_Incertae_sedis	g__Dilophia	NA
ASV_2834	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Lentitheciaceae	NA	NA
ASV_2835	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Cyathicula	NA
